%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, 533.2592450319789, 671.2035849476233, -2296.8445981871337, -940.8017530534416, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.677029458077073E9, 0.0, 2023-02-21 19:30:58.077
1.0, 750.5642620073631, 625.2888331916183, -2286.567353108898, -1117.4503176105209, 0.0, -0.09600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67702945810108E9, 0.0, 2023-02-21 19:30:58.101
1.0, 903.3765741968527, 685.0673940833658, -2252.2369414656423, -1266.6536263427697, 0.0, -0.09600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67702945810108E9, 0.0, 2023-02-21 19:30:58.101
2.0, 755.9366282937117, 841.6906643277034, -2372.414886641782, -1255.5629530241713, 0.01600000075995922, -0.09600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.677029458125082E9, 0.0, 2023-02-21 19:30:58.125
2.0, 885.2492791116238, 762.6516186641529, -2316.3986651054583, -1396.3346573063172, 0.01600000075995922, -0.09600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.677029458125082E9, 0.0, 2023-02-21 19:30:58.125
3.0, 695.9112340048887, 827.6585596939549, -2311.905175308697, -1400.28025175957, 0.01600000075995922, -0.09600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67702945814907E9, 0.0, 2023-02-21 19:30:58.149
3.0, 581.6554204085842, 947.3914567753673, -2217.9345790720545, -1391.923445308581, 0.01600000075995922, -0.09600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67702945814907E9, 0.0, 2023-02-21 19:30:58.149
4.0, 395.8945896094665, 805.0770437614992, -2060.3501545391046, -1263.7982127266005, 0.01600000075995922, -0.09600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.677029458197063E9, 0.0, 2023-02-21 19:30:58.197
4.0, 400.0589682101272, 823.9392291880213, -1955.1318091857247, -1391.3493706653826, 0.01600000075995922, -0.09600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.677029458197063E9, 0.0, 2023-02-21 19:30:58.197
5.0, 193.73429750464857, 878.4108720426448, -2057.088961777743, -1220.3480550413951, 0.01600000075995922, -0.09600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.677029458245073E9, 0.0, 2023-02-21 19:30:58.245
5.0, 25.870757943484932, 1041.3508333121426, -1944.6021208604798, -1266.0982511993498, 0.01600000075995922, -0.09600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.677029458245073E9, 0.0, 2023-02-21 19:30:58.245
6.0, 194.10828750021756, 1183.4352424787357, -1989.6398660768755, -1135.7851771432906, 0.01600000075995922, -0.09600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67702945826908E9, 0.0, 2023-02-21 19:30:58.269
6.0, 389.7087950827554, 1190.4587745955214, -2218.304829167668, -1268.110317375511, 0.01600000075995922, -0.09600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.67702945826908E9, 0.0, 2023-02-21 19:30:58.269
7.0, 249.3634393955581, 1407.7207827214152, -2085.405614292249, -1133.59920561919, 0.01600000075995922, -0.09600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.677029458293079E9, 0.0, 2023-02-21 19:30:58.293
