Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
5.0, 11.27953826636076, -5.579930733889341, 10.763432072475553, 7.573297410272062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.669771596909989E9, 0.0, 2022-11-29 19:26:36.909
5.0, 5.071304339915514, -10.43058097641915, -1.6792150801047683, 0.3590303957462311, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.669771596909989E9, 0.0, 2022-11-29 19:26:36.909
6.0, -7.289065013639629, -8.265178902074695, -3.6090034572407603, -5.811804531142116, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.66977159693397E9, 0.0, 2022-11-29 19:26:36.933
6.0, -0.4300884949043393, -14.297637530602515, -11.481492863968015, 9.940654082223773, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.66977159693397E9, 0.0, 2022-11-29 19:26:36.933
7.0, -8.42973450012505, -20.677906855009496, 0.3029318964108825, 0.4263485949486494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.669771596957941E9, 0.0, 2022-11-29 19:26:36.957
7.0, -8.362416300922632, -29.02536355610937, -6.978653317317367, -6.481246623210609, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.669771596957941E9, 0.0, 2022-11-29 19:26:36.957
8.0, -16.320923406630754, -21.657760643400252, -8.728926496580243, -16.754751801490784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.66977159698194E9, 0.0, 2022-11-29 19:26:36.981
8.0, -11.990119257941842, -25.506117697805166, -8.0781839042902, -9.106656392104924, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.66977159698194E9, 0.0, 2022-11-29 19:26:36.981
9.0, -11.589949962683022, -38.10958054848015, -22.10654863808304, -12.816637148149312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.669771597005953E9, 0.0, 2022-11-29 19:26:37.005
9.0, -15.999292010441422, -30.038876444101334, -34.848387787118554, -22.697452831082046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.669771597005953E9, 0.0, 2022-11-29 19:26:37.005
10.0, -18.703239678405225, -34.28740279376507, -43.38283948600292, -22.716152330860496, 0.0, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.669771597029976E9, 0.0, 2022-11-29 19:26:37.029
10.0, -34.54545589070767, -35.83946127537638, -32.13696031924337, -38.7229241412133, 0.0, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.669771597029976E9, 0.0, 2022-11-29 19:26:37.029
11.0, -39.9458714267239, -33.251450506038964, -35.188718683086336, -48.29332812782377, 0.0, 0.01600000075995922, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.669771597053946E9, 0.0, 2022-11-29 19:26:37.053
